/contrevenants;/contrevenant/adresse;/contrevenant/categorie;/contrevenant/date_infraction;/contrevenant/date_jugement;/contrevenant/description;/contrevenant/etablissement;/contrevenant/montant;/contrevenant/proprietaire;/contrevenant/ville
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;11779 Boul. de Pierrefonds ;Restaurant;24 juillet 2017;02 août 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;NOUVEAU MAISON KAM;250 $ ;9294-7324 QUEBEC INC.;Pierrefonds H9A 1A1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1000 Boul. Saint-Jean ;Restaurant;24 mars 2014;15 avril 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT AMIR;750 $ ;3096-5586 QUEBEC INC.  (Fermé changement d'exploitant);Pointe-Claire H9R 5P1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;506 Rue de Liège Est ;Restaurant;24 mars 2015;19 mai 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT SADY'S;2 000 $ ;9198-3817 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H2P 1J8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;989 Rue Jean-Talon Ouest ;Restaurant;24 novembre 2014;28 octobre 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT CHAND PALACE INDIEN;1 500 $ ;8118337 CANADA INC.;Montréal H3N 1S9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3419 Rue Notre-Dame Ouest ;Restaurant;24 octobre 2014;08 janvier 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT NOUVEAU SYSTEME;1 500 $ ;RESTAURANT NOUVEAU SYSTEME INC.;Montréal H4C 1P3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;735 Ch. du Bord-du-Lac-Lakeshore ;Restaurant;24 septembre 2013;26 février 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT CHATEAU DORVAL PIZZA DELI;1 300 $ ;2967-9719 QUEBEC INC.  (Fermé);Dorval H9S 2B9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;989 Rue Jean-Talon Ouest ;Restaurant;24 septembre 2013;13 mai 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT CHAND PALACE INDIEN;1 300 $ ;8118337 CANADA INC.;Montréal H3N 1S9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;2051 Boul. Rosemont ;Restaurant;24 septembre 2014;08 décembre 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT DELI-CAPRI;1 500 $ ;9253-2753 QUEBEC INC.;Montréal H2G 1T2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1231 Mtée de Liesse ;Restaurant;24 septembre 2015;22 mars 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT LE BEAUJOLAIS;1 300 $ ;9273-9739 QUEBEC INC.  (Fermé changement d'exploitant);St-Laurent H4S 1J7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;67 Rue De La Gauchetière Ouest ;Restaurant;25 août 2014;14 octobre 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT JADE QUARTIER CHINOIS;2 000 $ ;9103-3183 QUEBEC INC.;Montréal H2Z 1C2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;67 Rue De La Gauchetière Ouest ;Restaurant;25 août 2014;14 octobre 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT JADE QUARTIER CHINOIS;2 000 $ ;9103-3183 QUEBEC INC.;Montréal H2Z 1C2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1 Westmount Sq. ;Restaurant;25 août 2014;26 mai 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;T SUR LE SQUARE;1 500 $ ;3819817 CANADA INC.;Westmount H3Z 2P9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;67 Rue De La Gauchetière Ouest ;Restaurant;25 août 2014;06 mars 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;RESTAURANT JADE QUARTIER CHINOIS;250 $ ;9103-3183 QUEBEC INC.;Montréal H2Z 1C2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1987 Rue Jean-Talon Est ;Restaurant;25 août 2015;27 janvier 2017;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;RESTAURANT ARGANA;750 $ ;RESTAURANT ARGANA INC.;Montréal H2E 1T9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;625 Rue Sainte-Catherine Ouest ;Restaurant;25 août 2015;06 juin 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;MUFFINS PLUS;1 000 $ ;9295-3421 QUEBEC INC.;Montréal H3B 1B7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1689 Av. du Mont-Royal Est ;Restaurant;25 août 2015;12 mai 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT TOUS LES JOURS;2 500 $ ;RESTAURANT TOUS LES JOURS INC.  (Fermé);Montréal H2J 1Z6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;8084 Rue Lajeunesse ;Restaurant;25 août 2016;11 septembre 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;CAFE BANH MI LINH;900 $ ;NGOC LINH TIEU  (Fermé changement d'exploitant);Montréal H2R 2L6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1276 Av. Laurier Est ;Restaurant;25 avril 2013;22 octobre 2014;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;RESTAURANT LE ZAZIUMMM;1 100 $ ;2862-0532 QUEBEC INC.;Montréal H2J 1H1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;264 Rue Saint-Zotique Est ;Restaurant;25 avril 2014;23 novembre 2015;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;BUFFET DA ENRICO;1 200 $ ;2956322 CANADA INC.;Montréal H2S 1L3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;989 Rue Jean-Talon Ouest ;Restaurant;25 février 2014;21 janvier 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT CHAND PALACE INDIEN;1 600 $ ;8118337 CANADA INC.;Montréal H3N 1S9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3855 Rue Sainte-Catherine Est ;Restaurant;25 février 2015;11 mai 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;VINCENT SOUS-MARIN;900 $ ;9308-8912 QUEBEC INC.;Montréal H1W 2G3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4777 Boul. des Sources ;Restaurant;25 février 2015;07 janvier 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT PUSHAP;2 000 $ ;9054-7951 QUEBEC INC.;Pierrefonds H8Y 3C6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4616 Rue Wellington ;Restaurant;25 février 2015;13 novembre 2015;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;TAJ MAHAL INDIA;1 000 $ ;9268-3226 QUEBEC INC.;Verdun H4G 1W9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4847 Rue de Verdun ;Restaurant;25 février 2016;23 mai 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;LOTUS BLEU;1 000 $ ;9208-9333 QUEBEC INC.;Verdun H4G 1N2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1791 Rue du Centre ;Restaurant;25 janvier 2013;21 janvier 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT A LA FINE POINTE;1 200 $ ;3985873 CANADA INC.  (Fermé);Montréal H3K 1H8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1791 Rue du Centre ;Restaurant;25 janvier 2013;21 janvier 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT A LA FINE POINTE;1 500 $ ;3985873 CANADA INC.  (Fermé);Montréal H3K 1H8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1240 Rue Stanley ;Restaurant;25 juillet 2016;24 mai 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT KALOHIN;1 300 $ ;9114-7918 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H3B 2S7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;654 Rue Jean-Talon Ouest ;Restaurant;25 juillet 2017;07 août 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT LE VILLAGE GREC;250 $ ;3954609 CANADA INC.;Montréal H3N 1R7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3293 Rue Monselet ;Restaurant;25 juin 2014;16 décembre 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;TRAITEUR G&G;1 000 $ ;GRECO GENNARO  (Fermé);Montréal-Nord H1H 1Z4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4130 Rue Jean-Talon Est ;Restaurant;25 juin 2014;04 février 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT PHO HIN;5 000 $ ;9215-2032 QUEBEC INC.;Montréal H1S 2V4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;350 Rue Saint-Paul Est ;Restaurant;25 mai 2016;10 avril 2017;Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.;SUSHI-YA;250 $ ;9267-0520 QUEBEC INC.;Montréal H2Y 1H2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;163B Rue Saint-Paul Est ;Restaurant;25 mai 2017;11 juillet 2017;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;CREPERIE SAINT-PAUL;250 $ ;9338-0541 QUEBEC INC.;Montréal H2Y 1G8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4534 Rue Wellington ;Restaurant;25 mars 2015;18 janvier 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;SUSHI TIME;750 $ ;7655576 CANADA INC.;Verdun H4G 1W7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;3733A Rue Jarry Est ;Restaurant;25 novembre 2013;04 mars 2015;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT THMOR DA;1 000 $ ;9209-8144 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H1Z 2G1
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;5055 Ch. Queen-Mary ;Restaurant;25 novembre 2014;08 janvier 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT CHUNG MEI;1 250 $ ;9279-6291 QUEBEC INC.  (Fermé);Montréal H3W 1X4
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;6087 Rue Sherbrooke Ouest ;Restaurant;25 novembre 2014;06 janvier 2016;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT NIKAS SOUVLAKI;1 500 $ ;9180-6091 QUEBEC INC.;Montréal H4A 1Y2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1800 Av. de l' Église ;Restaurant;25 novembre 2015;09 janvier 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;SILVER DRAGON II;2 300 $ ;9089-5855 QUEBEC INC.  (Fermé);Montréal H4E 1G8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;7495 Rue Saint-Denis ;Restaurant;25 novembre 2015;23 août 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;LE RELAIS EXPRESS;1 500 $ ;9142-5108 QUEBEC INC.;Montréal H2R 2E5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1018 Rue Saint-Urbain ;Restaurant;25 novembre 2016;27 septembre 2017;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT NOODLE FACTORY INC.;900 $ ;RESTAURANT NOODLE FACTORY INC.;Montréal H2Z 1K6
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;886 Boul. Décarie ;Restaurant;25 octobre 2016;25 novembre 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;PHO MODERNE;250 $ ;9317-9240 QUEBEC INC.;St-Laurent H4L 3L9
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1163 Rue Clark ;Restaurant;25 septembre 2013;05 novembre 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT NIU KEE;2 000 $ ;9202-1849 QUEBEC INC.  (Fermé);Montréal H2X 2P8
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;939 Boul. Décarie ;Restaurant;25 septembre 2013;05 novembre 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;PATISSERIE BOULANGERIE CAFE VINH HING;1 800 $ ;2858-1791 QUEBEC INC.;St-Laurent H4L 3M3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;939 Boul. Décarie ;Restaurant;25 septembre 2013;05 novembre 2014;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;PATISSERIE BOULANGERIE CAFE VINH HING;1 300 $ ;2858-1791 QUEBEC INC.;St-Laurent H4L 3M3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4077 Rue de Castille ;Restaurant;26 août 2015;21 septembre 2016;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;RESTAURANT STANASIS SAVEUR CARAIBE;1 250 $ ;FLEURY JEAN MICHELET;Montréal-Nord H1H 1X5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;4077 Rue de Castille ;Restaurant;26 août 2015;21 septembre 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT STANASIS SAVEUR CARAIBE;1 250 $ ;FLEURY JEAN MICHELET;Montréal-Nord H1H 1X5
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;1845 Rue Sainte-Catherine Ouest ;Restaurant;26 août 2015;01 juin 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;WOK CAFE;1 600 $ ;9253-3397 QUEBEC INC.  (Fermé changement d'exploitant);Montréal H3H 1M2
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;9880 Boul. Saint-Laurent ;Restaurant;26 août 2015;11 mai 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;RESTAURANT MARABOU CREOLE;1 000 $ ;RESTAURANT MARABOU CREOLE INC.;Montréal H3L 2N3
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;414 Rue Fleury Ouest ;Restaurant;26 août 2015;02 mai 2016;Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.;L'ARTIZAN PIZZA;1 250 $ ;9278-1541 QUEBEC INC.;Montréal H3L 1V7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;2166 Boul. Saint-Joseph ;Restaurant;26 février 2013;28 mars 2014;Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.;RESTAURANT TOPAZE DE LACHINE;900 $ ;9120-1616 QUEBEC INC.  (Fermé);Lachine H8S 2N7
http://ville.montreal.qc.ca/pls/portal/docs/PAGE/ADMIN_FR/MEDIA/DOCUMENTS/CONTREVENANTS.XSD;2525B Rue Provost ;Restaurant;26 février 2014;24 février 2015;Le produit périssable vendu chaud ou servi chaud au consommateur doit être gardé à une température interne d'au moins 60°C jusqu'à sa livraison.;RESTAURANT-ANNE;1 000 $ ;RESTAURANT-ANNE  (Fermé);Lachine H8S 1R2
